"filename", "language", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Decimo_proyecto\backend\config\db.js", "JavaScript", 11, 0, 0, 3, 14
"c:\Decimo_proyecto\backend\config\multer.js", "JavaScript", 35, 0, 3, 6, 44
"c:\Decimo_proyecto\backend\controllers\CompetenciasController.js", "JavaScript", 46, 0, 5, 5, 56
"c:\Decimo_proyecto\backend\controllers\ConocimientosController.js", "JavaScript", 74, 0, 8, 7, 89
"c:\Decimo_proyecto\backend\controllers\MateriaController.js", "JavaScript", 135, 0, 11, 22, 168
"c:\Decimo_proyecto\backend\controllers\authController.js", "JavaScript", 45, 0, 5, 7, 57
"c:\Decimo_proyecto\backend\controllers\meritoController.js", "JavaScript", 55, 0, 1, 9, 65
"c:\Decimo_proyecto\backend\controllers\postulacionesController.js", "JavaScript", 136, 0, 6, 12, 154
"c:\Decimo_proyecto\backend\controllers\userController.js", "JavaScript", 70, 0, 6, 16, 92
"c:\Decimo_proyecto\backend\controllers\workflowcontrollers.js", "JavaScript", 28, 0, 3, 5, 36
"c:\Decimo_proyecto\backend\createAdmin.js", "JavaScript", 44, 0, 5, 7, 56
"c:\Decimo_proyecto\backend\models\Users.js", "JavaScript", 14, 0, 0, 3, 17
"c:\Decimo_proyecto\backend\models\competencias.js", "JavaScript", 24, 0, 1, 4, 29
"c:\Decimo_proyecto\backend\models\conocimientos.js", "JavaScript", 12, 0, 2, 3, 17
"c:\Decimo_proyecto\backend\models\materia.js", "JavaScript", 24, 0, 1, 7, 32
"c:\Decimo_proyecto\backend\models\materiaacefala.js", "JavaScript", 64, 0, 0, 3, 67
"c:\Decimo_proyecto\backend\models\merito.js", "JavaScript", 20, 0, 1, 4, 25
"c:\Decimo_proyecto\backend\models\postulaciones.js", "JavaScript", 55, 0, 1, 3, 59
"c:\Decimo_proyecto\backend\models\workflowSequence.js", "JavaScript", 6, 0, 1, 3, 10
"c:\Decimo_proyecto\backend\models\workflowmodels.js", "JavaScript", 8, 0, 1, 3, 12
"c:\Decimo_proyecto\backend\package-lock.json", "JSON", 0, 2052, 0, 1, 2053
"c:\Decimo_proyecto\backend\package.json", "JSON", 0, 26, 0, 1, 27
"c:\Decimo_proyecto\backend\routes\CompetenciasRoutes.js", "JavaScript", 13, 0, 1, 4, 18
"c:\Decimo_proyecto\backend\routes\ConocimientosRoutes.js", "JavaScript", 15, 0, 6, 7, 28
"c:\Decimo_proyecto\backend\routes\MateriaRoutes.js", "JavaScript", 8, 0, 1, 3, 12
"c:\Decimo_proyecto\backend\routes\authRoutes.js", "JavaScript", 5, 0, 2, 3, 10
"c:\Decimo_proyecto\backend\routes\materias.js", "JavaScript", 30, 0, 0, 6, 36
"c:\Decimo_proyecto\backend\routes\meritoRoutes.js", "JavaScript", 13, 0, 0, 4, 17
"c:\Decimo_proyecto\backend\routes\postulaciones.js", "JavaScript", 48, 0, 4, 6, 58
"c:\Decimo_proyecto\backend\routes\userRoutes.js", "JavaScript", 8, 0, 4, 6, 18
"c:\Decimo_proyecto\backend\routes\workflowroutes.js", "JavaScript", 6, 0, 3, 4, 13
"c:\Decimo_proyecto\backend\server.js", "JavaScript", 128, 0, 28, 30, 186
"Total", "-", 1180, 2078, 110, 207, 3575